station_code,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
MAM,MAMMOTH PASS (LADWP),real-time,/cgi-progs/queryF?MAM,9300,37.61,119.033,MONO,OWENS R,http://cdec.water.ca.gov/
MHP,MAMMOTH PASS (USBR),real-time,/cgi-progs/queryF?MHP,9300,37.61,119.033,MONO,OWENS R,http://cdec.water.ca.gov/
MNZ,MANZANITA LAKE (CDF),real-time,/cgi-progs/queryF?MNZ,5750,40.543,121.582,SHASTA,SACTO VLY NE,http://cdec.water.ca.gov/
MAP,MAPEL RANCH,real-time,/cgi-progs/queryF?MAP,2640,36.039,120.483,FRESNO,JACALITOS CR,http://cdec.water.ca.gov/
MPC,MAPLE CREEK,real-time,/cgi-progs/queryF?MPC,1680,40.796,123.937,HUMBOLDT,MAD R,http://cdec.water.ca.gov/
MRQ,MARIPOSA CK BLW MARIPOSA DAM,real-time,/cgi-progs/queryF?MRQ,346,37.28,120.1617,MARIPOSA,LITTLEJOHN CR,http://cdec.water.ca.gov/
MAR,MARIPOSA CREEK DAM,real-time,/cgi-progs/queryF?MAR,459,37.292,120.147,MARIPOSA,MERCED R,http://cdec.water.ca.gov/
MPG,MARIPOSA GROVE,real-time,/cgi-progs/queryF?MPG,6400,37.5,119.6,MARIPOSA,MERCED R,http://cdec.water.ca.gov/
MRP,MARIPOSA RANGER STATION,real-time,/cgi-progs/queryF?MRP,2250,37.504166,119.986946,MARIPOSA,MERCED R,http://cdec.water.ca.gov/
MRL,MARLETTE LAKE,real-time,/cgi-progs/queryF?MRL,8000,39.173,119.905,State of Nevada,LAKE TAHOE,http://cdec.water.ca.gov/
MRH,MARSH CREEK FIRE,real-time,/cgi-progs/queryF?MRH,740,37.8949,121.8635,CONTRA COSTA,SF BAY,http://cdec.water.ca.gov/
MFD,MARSH CREEK FIRE DEPARTMENT,real-time,/cgi-progs/queryF?MFD,680,37.893,121.865,CONTRA COSTA,SAN JOAQUIN R,http://cdec.water.ca.gov/
MAC,MARSH CREEK RESERVOIR,real-time,/cgi-progs/queryF?MAC,205,37.89,121.725,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
MSR,MARSHALL ROAD DRAIN,real-time,/cgi-progs/queryF?MSR,54,37.4364,121.0361,STANISLAUS,SAN JOAQUIN R,http://cdec.water.ca.gov/
MRZ,MARTINEZ,real-time,/cgi-progs/queryF?MRZ,8,38.028,122.138,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
MTK,MARTIS CK NR TRUCKEE,real-time,/cgi-progs/queryF?MTK,5730,39.3287963867188,120.117698669434,NEVADA,TRUCKEE R,http://cdec.water.ca.gov/
MRT,MARTIS CREEK RESERVOIR,real-time,/cgi-progs/queryF?MRT,5745,39.327,120.113,NEVADA,TRUCKEE R,http://cdec.water.ca.gov/
MTL,MARTIS POOL,real-time,/cgi-progs/queryF?MTL,5858,39.3267,120.1133,NEVADA,TRUCKEE R,http://cdec.water.ca.gov/
MRE,MATTOLE RIVER NEAR ETTERSBURG,real-time,/cgi-progs/queryF?MRE,626,40.1393089294434,123.991424560547,HUMBOLDT,MATTOLE R,http://cdec.water.ca.gov/
PTA,MATTOLE RIVER NEAR PETROLIA,real-time,/cgi-progs/queryF?PTA,40,40.3131904602051,124.283378601074,HUMBOLDT,MATTOLE R,http://cdec.water.ca.gov/
MLD,MCCLOUD,real-time,/cgi-progs/queryF?MLD,3280,41.25,122.133,SHASTA,MC CLOUD R,http://cdec.water.ca.gov/
MCL,MCCLOUD DAM (PG&E),real-time,/cgi-progs/queryF?MCL,2690,41.13,122.071,SHASTA,MC CLOUD R,http://cdec.water.ca.gov/
MCA,MCCLOUD R AT AH-DI-NA,real-time,/cgi-progs/queryF?MCA,2130,41.1105,122.0967,SHASTA,MC CLOUD R,http://cdec.water.ca.gov/
MSS,MCCLOUD RIVER ABOVE SHASTA LAKE,real-time,/cgi-progs/queryF?MSS,1100,40.958,122.219,SHASTA,MC CLOUD R,http://cdec.water.ca.gov/
MC7,MCCLOUD RIVER BELOW MCCLOUD DAM,real-time,/cgi-progs/queryF?MC7,2400,41.122349,122.064163,SHASTA,MC CLOUD R,http://cdec.water.ca.gov/
MCD,MCCLOUD RIVER NEAR MCCLOUD,real-time,/cgi-progs/queryF?MCD,2711,41.186,122.059,SISKIYOU,MC CLOUD R,http://cdec.water.ca.gov/
MCI,MCINTIRE ROAD,real-time,/cgi-progs/queryF?MCI,180,38.22,121.038,SAN JOAQUIN,MOKELUMNE R,http://cdec.water.ca.gov/
PHA,MCPHAILS PEAK,real-time,/cgi-progs/queryF?PHA,3353,36.6567,121.3664,SAN BENITO,SAN BENITO R,http://cdec.water.ca.gov/
MDW,MEADOW LAKE,real-time,/cgi-progs/queryF?MDW,7200,39.417,120.508,NEVADA,YUBA R,http://cdec.water.ca.gov/
MBR,MEADOWBROOK (PG&E),real-time,/cgi-progs/queryF?MBR,8021,37.082,118.863,FRESNO,KINGS R,http://cdec.water.ca.gov/
MNS,MEANS LAKE,real-time,/cgi-progs/queryF?MNS,2900,34.391,116.517,SAN BERNARDINO,WHITEWATER R,http://cdec.water.ca.gov/
MED,MEDICINE LAKE,real-time,/cgi-progs/queryF?MED,6700,41.5869,121.6131,SISKIYOU,PIT R,http://cdec.water.ca.gov/
MDZ,MENDEZ RANCH,real-time,/cgi-progs/queryF?MDZ,322,38.062,120.924,STANISLAUS,CALAVERAS R,http://cdec.water.ca.gov/
